pricestr,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer,price,lnprice,year,age,lnodometer,LE,XLE,SE,Hybrid
$4990,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,gas,11.6236,grey,,automatic,sedan,1,4990,8.515191188745565,2007,11,2.4530375141136056,0,0,0,1
$10625,chicago,chicago city,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,4.3702,grey,,automatic,sedan,1,10625,9.270964993792617,2009,9,1.4748087746506293,0,0,0,1
$14850,chicago,chicago city,2015 Toyota_ Camry_,excellent,other,,gas,3.5721,,,automatic,sedan,1,14850,9.605755144230846,2015,3,1.273153658143102,0,0,0,0
$15630,chicago,chicago city,2016 TOYOTA CAMRY,,,fwd,gas,1.3152,,,automatic,sedan,1,15630,9.656947423415522,2016,2,0.27398874531977835,0,0,0,0
$850,chicago,chicago city,1993 toyota camry,good,6 cylinders,fwd,gas,18.7,red,full-size,automatic,sedan,0,850,6.745236349484363,1993,25,2.928523523860541,0,0,0,0
$1300,chicago,chicago city,1998 toyota camry,fair,4 cylinders,fwd,gas,16.824258333333333,grey,,automatic,,0,1300,7.170119543449628,1998,20,2.8228217933308546,0,0,0,0
$1600,chicago,chicago city,1998 toyota camry le,,,,gas,16.824258333333333,,,automatic,,0,1600,7.3777589082278725,1998,20,2.8228217933308546,1,0,0,0
$1500,chicago,chicago city,1998 Toyota Camry,,,,gas,16.824258333333333,,,automatic,,0,1500,7.313220387090301,1998,20,2.8228217933308546,0,0,0,0
$1650,chicago,chicago city,1999 toyota camry,good,4 cylinders,fwd,gas,20.2,,,automatic,sedan,0,1650,7.408530566894626,1999,19,3.005682604407159,0,0,0,0
$2295,chicago,chicago city,2000 toyota camry le,excellent,4 cylinders,fwd,gas,10.7,white,mid-size,automatic,sedan,0,2295,7.738488122494646,2000,18,2.3702437414678603,1,0,0,0
$1650,chicago,chicago city,2002 toyota camry solara,,6 cylinders,fwd,gas,16.0,black,,automatic,,0,1650,7.408530566894626,2002,16,2.772588722239781,0,0,0,0
$3500,chicago,chicago city,2002 toyota camry,,,,gas,14.326720833333335,,,automatic,,0,3500,8.160518247477505,2002,16,2.6621263833674,0,0,0,0
$1100,chicago,chicago city,2003 Toyota CAMRY XLE,,,,gas,14.081671428571426,white,,automatic,,0,1100,7.003065458786462,2003,15,2.6448740531000756,0,1,0,0
$3800,chicago,chicago city,2003 toyota camry,,4 cylinders,,gas,11.9,,,automatic,,0,3800,8.242756345714477,2003,15,2.4765384001174837,0,0,0,0
$2950,chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,16.7,,,automatic,,0,2950,7.989560449333865,2004,14,2.8154087194227095,0,1,0,0
$4200,chicago,chicago city,2005 toyota camry LE,excellent,6 cylinders,4wd,gas,12.0451,grey,full-size,automatic,sedan,0,4200,8.34283980427146,2005,13,2.4886579382324547,1,0,0,0
$5799,chicago,chicago city,2007 Toyota Camry Hybrid,good,4 cylinders,fwd,hybrid,15.9,silver,,automatic,sedan,0,5799,8.66544076787644,2007,11,2.766319109226186,0,0,0,1
$4500,chicago,chicago city,2007 toyota camry,good,4 cylinders,fwd,gas,11.626930303030303,silver,full-size,automatic,sedan,0,4500,8.411832675758411,2007,11,2.4533239852615467,0,0,0,0
$4000,chicago,chicago city,2007 Toyota camry,,,,gas,11.626930303030303,,,automatic,,0,4000,8.294049640102028,2007,11,2.4533239852615467,0,0,0,0
$6000,chicago,chicago city,2007 Toyota Camry SE,excellent,4 cylinders,fwd,gas,10.2,grey,mid-size,automatic,,0,6000,8.699514748210191,2007,11,2.322387720290225,0,0,1,0
$5999,chicago,chicago city,2007 toyota camry xle,,,,gas,11.626930303030303,,,automatic,,0,5999,8.699348067653093,2007,11,2.4533239852615467,0,1,0,0
$7700,chicago,chicago city,2008 toyota camry,,4 cylinders,fwd,gas,6.58,,,automatic,,0,7700,8.948975607841776,2008,10,1.884034745337226,0,0,0,0
$7200,chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,11.33,grey,mid-size,automatic,sedan,0,7200,8.881836305004146,2009,9,2.427454075039915,0,0,1,0
$6400,chicago,chicago city,2009 toyota camry xle,excellent,,,gas,16.4503625,,,automatic,,0,6400,8.764053269347762,2009,9,2.8003475134427456,0,1,0,0
$2900,chicago,chicago city,2010 toyota camry hybrid,,,,hybrid,30.0,,,automatic,,0,2900,7.9724660159745655,2010,8,3.4011973816621555,0,0,0,1
$2000,chicago,chicago city,2010 toyota camry le,,,,gas,14.663999999999998,,,automatic,,0,2000,7.600902459542082,2010,8,2.6853955105374037,1,0,0,0
$7000,chicago,chicago city,2013 toyota camry,excellent,4 cylinders,,gas,21.3,white,compact,automatic,sedan,0,7000,8.85366542803745,2013,5,3.0587070727153796,0,0,0,0
$14900,chicago,chicago city,2014 Toyota Camry XLE,like new,4 cylinders,fwd,gas,4.1539,silver,mid-size,automatic,sedan,0,14900,9.60911649193355,2014,4,1.4240476519816823,0,1,0,0
$2000,chicago,chicago city,2009 Toyota Camry,like new,6 cylinders,fwd,gas,16.4503625,,,automatic,sedan,0,2000,7.600902459542082,2009,9,2.8003475134427456,0,0,0,0
$3030,chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,14.663999999999998,black,full-size,automatic,sedan,0,3030,8.016317898503415,2010,8,2.6853955105374037,0,1,0,0
$3100,chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,,gas,13.0756,grey,,automatic,sedan,0,3100,8.039157390473237,2004,14,2.5707478979994525,0,0,0,0
$15490,chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,4.8192,white,,automatic,,0,15490,9.647949933410914,2016,2,1.5726079391833827,1,0,0,0
$3600,chicago,chicago city,2002 toyota camry le,like new,6 cylinders,,gas,12.1,grey,,automatic,sedan,0,3600,8.1886891244442,2002,16,2.4932054526026954,1,0,0,0
$3750,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3750,8.229511118964457,2002,16,2.855929830358685,1,0,0,0
$4400,chicago,chicago N,2005 toyota camry,good,4 cylinders,fwd,gas,12.3,,,automatic,sedan,0,4400,8.389359819906353,2005,13,2.509599262378372,0,0,0,0
$6300,chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,15.6,black,full-size,automatic,sedan,0,6300,8.748304912379623,2011,7,2.747270914255491,0,0,1,0
$1700,chicago,chicago N,1998 Toyota Camry LE,good,,,gas,17.5626,brown,mid-size,automatic,sedan,0,1700,7.438383530044307,1998,20,2.865771641027932,1,0,0,0
$8955,chicago,chicago suburbs,2009 Toyota Camry Hybrid,,4 cylinders,fwd,hybrid,8.1388,white,mid-size,automatic,sedan,1,8955,9.099967314494812,2009,9,2.096642748999611,0,0,0,1
$850,chicago,chicago suburbs,1997 Toyota Camry,,,,gas,18.700799999999997,,,automatic,,0,850,6.745236349484363,1997,21,2.928566303694134,0,0,0,0
$2000,chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,20.2,,full-size,automatic,sedan,0,2000,7.600902459542082,2000,18,3.005682604407159,0,0,0,0
$2250,chicago,chicago suburbs,2001 toyota camry,like new,,,gas,16.4,,,automatic,,0,2250,7.718685495198466,2001,17,2.797281334830153,0,0,0,0
$2500,chicago,chicago suburbs,2006 Toyota Camry Solara,good,4 cylinders,fwd,gas,18.5,blue,mid-size,automatic,coupe,0,2500,7.824046010856292,2006,12,2.917770732084279,0,0,0,0
$7400,chicago,chicago suburbs,2008 toyota camry hybrid,,,,gas,10.4841,,,automatic,,0,7400,8.909235279192261,2008,10,2.3498598237598136,0,0,0,1
$7500,chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,14.663999999999998,silver,mid-size,automatic,sedan,0,7500,8.922658299524402,2010,8,2.6853955105374037,1,0,0,0
$10590,chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,7.5294,red,,automatic,,0,10590,9.267665438595452,2012,6,2.0188153573621803,0,0,0,0
$2800,chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,sedan,0,2800,7.937374696163295,2002,16,2.3513752571634776,1,0,0,0
$2800,chicago,chicago suburbs,2002 toyota camry,excellent,4 cylinders,fwd,gas,10.5,silver,,automatic,,0,2800,7.937374696163295,2002,16,2.3513752571634776,0,0,0,0
$1000,chicago,chicago suburbs,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,18.242,,,automatic,sedan,0,1000,6.907755278982137,1995,23,2.9037266277579667,1,0,0,0
$600,chicago,chicago suburbs,1997 toyota camry le,fair,4 cylinders,fwd,gas,17.7,grey,,automatic,sedan,0,600,6.396929655216146,1997,21,2.8735646395797834,1,0,0,0
$1850,chicago,chicago suburbs,1998 Toyota Camry LX,excellent,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.52294091807237,1998,20,2.7650604558189897,0,0,0,0
$1850,chicago,chicago suburbs,1998 Toyota Camry LX,good,6 cylinders,fwd,gas,15.88,brown,compact,automatic,sedan,0,1850,7.52294091807237,1998,20,2.7650604558189897,0,0,0,0
$6500,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6500,8.779557455883728,2008,10,2.388762789235098,1,0,0,0
$2400,chicago,indiana NW,2005 Toyota Camry XLE,good,6 cylinders,fwd,gas,16.5,silver,mid-size,automatic,,0,2400,7.783224016336037,2005,13,2.803360380906535,0,1,0,0
$3950,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3950,8.281470857895167,2005,13,2.760009940032921,1,0,0,0
$3985,chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,10.148,,,automatic,sedan,1,3985,8.290292591224315,1997,21,2.3172766417370356,0,0,0,0
$2000,chicago,chicago S,1999 toyota camry,,,,gas,17.01991875,,,automatic,,0,2000,7.600902459542082,1999,19,2.8343843493382987,0,0,0,0
$1400,chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,16.7,black,compact,automatic,sedan,0,1400,7.24422751560335,2000,18,2.8154087194227095,0,1,0,0
$3980,chicago,chicago S,2001 Toyota Camry,,,,gas,11.3159,,,automatic,,0,3980,8.289037098278483,2001,17,2.4262088163553814,0,0,0,0
$5900,chicago,chicago S,2009 toyota camry hybrid,good,,fwd,gas,20.7,blue,full-size,other,sedan,0,5900,8.68270762989381,2009,9,3.0301337002713233,0,0,0,1
$6500,chicago,chicago S,2011 toyota camry,,,,gas,10.323047619047617,,,automatic,,0,6500,8.779557455883728,2011,7,2.3343790283806523,0,0,0,0
$8900,chicago,chicago S,2008 toyota camry,,,,gas,12.548111764705883,red,,automatic,,0,8900,9.093806555720231,2008,10,2.5295701972624567,0,0,0,0
$2000,chicago,chicago S,1999 Toyota camry,,,,gas,17.01991875,,,automatic,,0,2000,7.600902459542082,1999,19,2.8343843493382987,0,0,0,0
$2400,chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,16.6457,grey,mid-size,automatic,sedan,1,2400,7.783224016336037,2000,18,2.812151924813788,0,0,0,0
$5999,chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,13.2572,silver,full-size,automatic,sedan,1,5999,8.699348067653093,2009,9,2.5845408010723796,1,0,0,0
$9300,chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,9.0653,green,full-size,automatic,sedan,1,9300,9.137769679141348,2011,7,2.2044539379780184,0,1,0,0
$11877,chicago,chicago W,2012 TOYOTA CAMRY HYBRID XLE,excellent,4 cylinders,fwd,hybrid,11.2707,white,mid-size,automatic,,1,11877,9.38235903577424,2012,6,2.422206437924069,0,1,0,1
$10500,chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.2628,grey,mid-size,automatic,sedan,1,10500,9.259130536145614,2013,5,1.8346273694552309,0,0,0,0
$12900,chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,5.2482,black,mid-size,automatic,sedan,1,12900,9.464982590349763,2016,2,1.657885160671727,0,0,0,0
$3300,chicago,chicago W,2004 Toyota camry,,,,gas,15.408045833333334,,,automatic,,0,3300,8.101677747454572,2004,14,2.7348898296965514,0,0,0,0
$4400,chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,silver,mid-size,automatic,sedan,0,4400,8.389359819906353,2004,14,2.3513752571634776,1,0,1,0
$2074,chicago,chicago W,2010 TOYOTA CAMRY,,,,gas,14.663999999999998,,,automatic,,0,2074,7.637234388789473,2010,8,2.6853955105374037,0,0,0,0
$800,chicago,chicago W,2000 TOYOTA CAMRY,,4 cylinders,,gas,16.833457142857146,,,automatic,,0,800,6.684611727667927,2000,18,2.823368402607373,0,0,0,0
$5985,chicago,chicago W,2002 Toyota Camry Solara,excellent,,,gas,7.7734,,,automatic,,0,5985,8.697011617992073,2002,16,2.0507076491067364,0,0,0,0
$5300,chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,13.8,silver,,automatic,sedan,0,5300,8.575462099540212,2002,16,2.624668592163159,0,1,0,0
$2700,chicago,chicago W,2003 Toyota Camry,good,4 cylinders,fwd,gas,21.8,grey,,automatic,,0,2700,7.90100705199242,2003,15,3.0819099697950434,0,0,0,0
$3600,chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,16.8,red,compact,automatic,coupe,0,3600,8.1886891244442,2004,14,2.8213788864092133,0,0,0,0
$5250,chicago,chicago W,2008 toyota camry,excellent,4 cylinders,fwd,gas,17.7,grey,,automatic,sedan,0,5250,8.565983355585669,2008,10,2.8735646395797834,0,0,0,0
$6750,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,6750,8.817297783866575,2009,9,2.553343811341229,0,0,0,0
$3200,chicago,chicago W,2011 toyota camry hybrid,good,4 cylinders,fwd,hybrid,35.0,white,,automatic,sedan,0,3200,8.070906088787819,2011,7,3.5553480614894135,0,0,0,1
$9995,chicago,chicago W,2012 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,10.5,white,full-size,automatic,sedan,0,9995,9.209840246934501,2012,6,2.3513752571634776,0,0,1,0
$1300,chicago,chicago W,1994 Toyota Camry,,,,gas,13.8,,,automatic,,0,1300,7.170119543449628,1994,24,2.624668592163159,0,0,0,0
$2071,chicago,chicago W,2010 TOYOTA CAMRY,,,,gas,14.663999999999998,,,automatic,,0,2071,7.635786861395585,2010,8,2.6853955105374037,0,0,0,0
$1300,chicago,chicago W,1993 toyota camry,good,6 cylinders,fwd,gas,15.1,,,automatic,,0,1300,7.170119543449628,1993,25,2.714694743820879,0,0,0,0
$2799,chicago,chicago S,1999 TOYOTA CAMRY,,4 cylinders,,gas,13.9745,white,,automatic,sedan,1,2799,7.937017489515454,1999,19,2.6372342402257956,0,0,0,0
$2800,chicago,chicago N,1997 Toyota Camry,,,,gas,18.700799999999997,,,automatic,,0,2800,7.937374696163295,1997,21,2.928566303694134,0,0,0,0
$2200,chicago,chicago city,1993 Toyota Camry,,,,gas,21.916666666666668,,,automatic,,0,2200,7.696212639346407,1993,25,3.0872473823897644,0,0,0,0
$7250,chicago,chicago W,2009 toyota camry,excellent,4 cylinders,fwd,gas,12.85,black,,automatic,sedan,0,7250,8.88875674784872,2009,9,2.553343811341229,0,0,0,0
$16900,chicago,indiana NW,2017 Toyota Camry SE,,,,gas,1.8728166666666668,,,automatic,,1,16900,9.735068900911164,2017,1,0.6274435364857356,0,0,1,0
$1600,chicago,indiana NW,1998 1998 TOYOTA CAMRY,,,,gas,16.824258333333333,,,automatic,,0,1600,7.3777589082278725,1998,20,2.8228217933308546,0,0,0,0
$9449,chicago,chicago W,2012 TOYOTA CAMRY,,,fwd,other,11.2143,black,,automatic,sedan,1,9449,9.153664194782626,2012,6,2.4171897496175885,0,0,0,0
$2200,chicago,chicago W,2001 toyota camry,good,4 cylinders,fwd,gas,14.6,silver,mid-size,automatic,sedan,0,2200,7.696212639346407,2001,17,2.681021528714291,0,0,0,0
$2700,chicago,chicago N,1993 Toyota Camry XLE V6,,,,gas,21.916666666666668,black,,automatic,sedan,0,2700,7.90100705199242,1993,25,3.0872473823897644,0,1,0,0
$7700,chicago,chicago city,2008 toyota camry hybrid,,4 cylinders,fwd,gas,6.58,,,automatic,,0,7700,8.948975607841776,2008,10,1.884034745337226,0,0,0,1
$1600,chicago,chicago city,1998 toyota camry,,,,gas,16.824258333333333,,,automatic,,0,1600,7.3777589082278725,1998,20,2.8228217933308546,0,0,0,0
$10900,chicago,chicago suburbs,2007 TOYOTA CAMRY SOLARA,,,fwd,other,8.3804,,,automatic,convertible,1,10900,9.296518068217235,2007,11,2.12589564605172,0,0,0,0
$1500,chicago,chicago city,2007 toyota camry,,6 cylinders,fwd,gas,11.626930303030303,grey,full-size,automatic,,0,1500,7.313220387090301,2007,11,2.4533239852615467,0,0,0,0
$3550,chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,17.3906,blue,mid-size,automatic,sedan,0,3550,8.174702882469461,2002,16,2.855929830358685,1,0,0,0
$3200,chicago,chicago city,2004 TOYOTA CAMRY LE,excellent,4 cylinders,fwd,gas,11.9,white,,automatic,sedan,0,3200,8.070906088787819,2004,14,2.4765384001174837,1,0,0,0
$3200,chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,17.5,green,mid-size,automatic,sedan,0,3200,8.070906088787819,2002,16,2.8622008809294686,0,0,0,0
$14000,chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,6.0215,grey,,automatic,,0,14000,9.546812608597396,2015,3,1.7953363977183974,1,0,0,0
$5800,chicago,indiana NW,2007 Toyota Camry,good,,,gas,13.0,,,automatic,,0,5800,8.66561319653451,2007,11,2.5649493574615367,0,0,0,0
$6929,chicago,chicago suburbs,2003 TOYOTA CAMRY LE,,,,gas,6.5756,,,automatic,,0,6929,8.843470781627381,2003,15,1.8833658286532182,1,0,0,0
$1900,chicago,chicago W,2000 toyota camry solara,,,,gas,16.833457142857146,,,automatic,,0,1900,7.549609165154532,2000,18,2.823368402607373,0,0,0,0
$2700,chicago,chicago N,1993 Toyota Camry XLE V6,,,,gas,21.916666666666668,,,automatic,,0,2700,7.90100705199242,1993,25,3.0872473823897644,0,1,0,0
$2200,chicago,chicago N,1993 Toyota Camry,,,,gas,21.916666666666668,,,automatic,,0,2200,7.696212639346407,1993,25,3.0872473823897644,0,0,0,0
$8300,chicago,indiana NW,2011 Toyota Camry,,,,gas,10.323047619047617,,,automatic,,0,8300,9.02401079378469,2011,7,2.3343790283806523,0,0,0,0
$7700,chicago,chicago city,2008 Toyota camry,,,,gas,8.5,,,automatic,,0,7700,8.948975607841776,2008,10,2.1400661634962708,0,0,0,0
$8300,chicago,chicago city,2011 Toyota Camry,,,,gas,10.323047619047617,,,automatic,,0,8300,9.02401079378469,2011,7,2.3343790283806523,0,0,0,0
$18495,chicago,chicago S,2017 toyota camry,excellent,4 cylinders,4wd,gas,0.2319,,,automatic,sedan,1,18495,9.825255704266555,2017,1,-1.461449034720651,0,0,0,0
$2069,chicago,chicago S,2010 TOYOTA CAMRY,,,,gas,14.663999999999998,,,automatic,,0,2069,7.634820677745543,2010,8,2.6853955105374037,0,0,0,0
$4400,chicago,chicago N,2005 toyota camry,excellent,4 cylinders,fwd,gas,12.3,,full-size,automatic,sedan,0,4400,8.389359819906353,2005,13,2.509599262378372,0,0,0,0
$3900,chicago,chicago city,2004 Toyota Camry,good,4 cylinders,,gas,13.6559,black,,automatic,sedan,0,3900,8.268731832117737,2004,14,2.61417166267681,0,0,0,0
$5500,chicago,chicago S,2008 toyota camry hybrid,like new,4 cylinders,,gas,25.7,black,,automatic,,0,5500,8.612503371220562,2008,10,3.246490991901174,0,0,0,1
$4500,chicago,chicago N,2002 toyota camry solara convertible,good,6 cylinders,,gas,10.3245,,,automatic,,0,4500,8.411832675758411,2002,16,2.3345197115243916,0,0,0,0
$4500,chicago,chicago S,2007 toyota camry solara,excellent,4 cylinders,fwd,gas,15.9,silver,,automatic,coupe,0,4500,8.411832675758411,2007,11,2.766319109226186,0,0,0,0
$2500,chicago,chicago suburbs,2005 toyota camry,fair,6 cylinders,4wd,gas,22.8,grey,full-size,automatic,sedan,0,2500,7.824046010856292,2005,13,3.126760535960395,0,0,0,0
$1500,chicago,chicago city,1998 toyota camry,,,,gas,16.824258333333333,,,automatic,,0,1500,7.313220387090301,1998,20,2.8228217933308546,0,0,0,0
$14491,chicago,chicago W,2015 Toyota Camry,,4 cylinders,fwd,gas,4.96,white,,automatic,sedan,1,14491,9.581283046045924,2015,3,1.601405740736836,0,0,0,0
$3700,chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,15.8,grey,full-size,automatic,sedan,0,3700,8.216088098632316,2005,13,2.760009940032921,1,0,0,0
$1500,chicago,indiana NW,2004 Toyota camry,,,,gas,15.408045833333334,,,automatic,,0,1500,7.313220387090301,2004,14,2.7348898296965514,0,0,0,0
$1500,chicago,indiana NW,2001 toyota camry,fair,6 cylinders,fwd,gas,18.0,,full-size,automatic,,0,1500,7.313220387090301,2001,17,2.8903717578961645,0,0,0,0
$6499,chicago,chicago suburbs,2009 Toyota Camry,,4 cylinders,fwd,gas,11.8068,black,mid-size,automatic,sedan,1,6499,8.77940359789435,2009,9,2.4686756366775833,0,0,0,0
$9995,chicago,chicago city,2007 toyota camry le,excellent,4 cylinders,fwd,gas,11.626930303030303,blue,mid-size,automatic,,1,9995,9.209840246934501,2007,11,2.4533239852615467,1,0,0,0
$11386,chicago,chicago suburbs,2012 Toyota Camry,,4 cylinders,fwd,gas,8.0504,silver,mid-size,automatic,sedan,1,11386,9.340139809511028,2012,6,2.0857217796369865,0,0,0,0
$13906,chicago,chicago W,2015 Toyota Camry,,4 cylinders,fwd,gas,6.1448,black,mid-size,automatic,sedan,1,13906,9.540075680658964,2015,3,1.815606195702335,0,0,0,0
$4950,chicago,chicago S,2006 toyota camry solara convertible,excellent,6 cylinders,fwd,gas,14.0,silver,mid-size,automatic,convertible,0,4950,8.507142855562735,2006,12,2.6390573296152584,0,0,0,0
$5390,chicago,chicago W,2007 toyota camry le,excellent,4 cylinders,fwd,gas,14.55,yellow,,automatic,sedan,0,5390,8.592300663903043,2007,11,2.6775909936175015,1,0,0,0
$1800,chicago,chicago city,1998 toyota camry,good,,fwd,gas,16.824258333333333,green,full-size,automatic,sedan,1,1800,7.495541943884256,1998,20,2.8228217933308546,0,0,0,0
$6995,chicago,chicago suburbs,2009 Toyota Camry SE,good,4 cylinders,fwd,gas,12.4,red,mid-size,automatic,sedan,0,6995,8.852950887099581,2009,9,2.517696472610991,0,0,1,0
$500,chicago,chicago city,2011 toyota camry xle,,,,gas,10.323047619047617,,,automatic,,1,500,6.214608098422191,2011,7,2.3343790283806523,0,1,0,0
$6000,chicago,chicago city,2005 toyota camry le,good,4 cylinders,fwd,gas,12.1,silver,full-size,automatic,sedan,0,6000,8.699514748210191,2005,13,2.4932054526026954,1,0,0,0
$13995,chicago,chicago S,2014 toyota camry,excellent,4 cylinders,4wd,gas,3.9298,white,,automatic,sedan,1,13995,9.546455401949554,2014,4,1.3685885340009585,0,0,0,0
$4900,chicago,chicago city,2008 Toyota_ Camry_ Solara_,excellent,6 cylinders,fwd,gas,15.5386,black,sub-compact,automatic,convertible,1,4900,8.496990484098719,2008,10,2.7433272507910553,0,0,0,0
$6490,chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,11.5515,silver,mid-size,automatic,sedan,1,6490,8.778017809698136,2007,11,2.4468152986652774,0,0,0,0
$12500,chicago,chicago city,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,6.3,silver,mid-size,automatic,sedan,1,12500,9.433483923290392,2013,5,1.840549633397487,0,0,0,0
$5500,chicago,chicago suburbs,2004 toyota camry,,,,gas,13.4333,,,automatic,sedan,1,5500,8.612503371220562,2004,14,2.597736698891871,0,0,0,0
$6000,chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,10.9,black,full-size,automatic,sedan,0,6000,8.699514748210191,2008,10,2.388762789235098,1,0,0,0
